booking_id,passenger_id,flight_id,airport_id,amount,booking_date
B00080,P0116,F0050,A048,1267.71,2025-05-19
B00081,P0093,F0002,A038,792.3,2025-03-29
B00082,P0077,F0003,A008,1356.62,2025-05-19
B00083,P0035,F0097,A041,1120.64,2025-06-11
B00084,P0152,F0042,A009,1378.9,2025-04-06
B00085,P0181,F0085,A046,826.47,2025-03-24
B00086,P0083,F0004,A024,1345.04,2025-05-26
B00087,P0120,F0050,A038,896.66,2025-03-29
B00088,P0074,F0002,A003,828.36,2025-05-07
B00089,P0165,F0006,A006,1192.71,2025-06-19
B00090,P0048,F0038,A011,201.05,2025-06-21
B00091,P0025,F0024,A025,1201.66,2025-04-27
B00092,P0066,F0092,A024,485.91,2025-03-26
B00093,P0063,F0039,A001,716.33,2025-06-01
B00094,P0164,F0020,A038,1284.96,2025-05-20
B00095,P0186,F0046,A006,496.57,2025-05-02
B00096,P0050,F0047,A001,432.5,2025-05-07
B00097,P0141,F0071,A011,165.9,2025-04-08
B00098,P0061,F0013,A007,269.98,2025-04-01
B00099,P0132,F0002,A010,465.46,2025-03-29
B00100,P0040,F0005,A040,483.81,2025-04-22
B00101,P0012,F0056,A004,1471.79,2025-04-08
B00102,P0053,F0055,A036,962.65,2025-06-17
B00103,P0032,F0073,A024,699.12,2025-06-16
B00104,P0013,F0014,A031,441.83,2025-05-04
B00105,P0172,F0038,A001,484.75,2025-06-14
B00106,P0118,F0052,A036,646.42,2025-04-27
B00107,P0152,F0008,A036,1382.88,2025-05-31
B00108,P0093,F0002,A026,689.48,2025-03-31
B00109,P0197,F0074,A033,236.4,2025-04-23
B00110,P0105,F0086,A014,762.79,2025-05-14
B00111,P0121,F0060,A031,1292.74,2025-06-01
B00112,P0114,F0053,A040,102.97,2025-05-31
B00113,P0153,F0100,A015,1441.63,2025-04-18
B00114,P0089,F0019,A023,1397.3,2025-05-25
B00115,P0152,F0071,A048,384.14,2025-04-23
B00116,P0200,F0100,A004,1250.92,2025-04-11
B00117,P0035,F0053,A049,137.06,2025-05-27
B00118,P0018,F0033,A012,401.76,2025-04-18
B00119,P0107,F0077,A041,1490.52,2025-04-24
B00120,P0142,F0064,A035,1117.94,2025-05-16
B00121,P0012,F0007,A005,784.05,2025-04-17
B00122,P0120,F0074,A031,437.9,2025-04-20
B00123,P0016,F0031,A032,1045.6,2025-05-24
B00124,P0115,F0039,A041,1341.38,2025-05-30
B00125,P0003,F0033,A020,917.89,2025-05-03
B00126,P0064,F0059,A022,1362.7,2025-04-06
B00127,P0024,F0020,A042,589.06,2025-06-06
B00128,P0060,F0088,A037,654.72,2025-06-17
B00129,P0063,F0063,A023,940.65,2025-04-19
B00130,P0050,F0081,A021,814.86,2025-04-04
B00131,P0135,F0027,A003,903.5,2025-04-18
B00132,P0164,F0038,A044,857.38,2025-04-12
B00133,P0120,F0003,A046,917.93,2025-04-17
B00134,P0157,F0017,A038,768.43,2025-04-24
B00135,P0180,F0029,A028,697.28,2025-06-09
B00136,P0165,F0010,A032,475.11,2025-06-06
B00137,P0176,F0065,A049,1284.93,2025-04-11
B00138,P0047,F0009,A004,501.11,2025-04-03
B00139,P0110,F0011,A024,903.05,2025-05-27
B00140,P0190,F0068,A027,463.14,2025-05-01
B00141,P0014,F0017,A049,630.21,2025-04-25
B00142,P0101,F0057,A037,1478.85,2025-06-21
B00143,P0111,F0084,A042,173.83,2025-03-26
B00144,P0038,F0007,A004,1193.12,2025-04-03
B00145,P0023,F0043,A010,155.49,2025-06-18
B00146,P0085,F0083,A026,434.14,2025-04-28
B00147,P0120,F0061,A023,1280.01,2025-04-11
B00148,P0031,F0099,A046,303.25,2025-05-22
B00149,P0013,F0084,A040,971.47,2025-04-14
B00150,P0189,F0082,A019,786.57,2025-06-06
B00151,P0180,F0075,A046,1151.15,2025-05-16
B00152,P0134,F0088,A043,1375.39,2025-04-23
B00153,P0105,F0063,A044,1297.04,2025-04-05
B00154,P0160,F0007,A015,1379.91,2025-05-06
B00155,P0176,F0039,A001,784.54,2025-04-20
B00156,P0066,F0091,A020,1045.1,2025-03-25
B00157,P0048,F0082,A045,270.75,2025-05-25
B00158,P0040,F0052,A015,753.46,2025-06-05
B00159,P0120,F0034,A025,737.98,2025-05-20
B00160,P0125,F0076,A013,926.05,2025-04-10
B00161,P0159,F0082,A019,596.61,2025-06-16
B00162,P0062,F0005,A004,979.39,2025-05-01
B00163,P0110,F0065,A050,835.71,2025-03-26
B00164,P0160,F0022,A026,206.58,2025-06-12
B00165,P0021,F0024,A050,885.99,2025-03-25
B00166,P0007,F0087,A011,410.5,2025-04-09
B00167,P0064,F0022,A036,1200.09,2025-05-23
B00168,P0022,F0045,A010,1228.27,2025-04-24
B00169,P0122,F0051,A037,607.74,2025-06-10
B00170,P0139,F0024,A013,1309.81,2025-03-24
B00171,P0188,F0014,A050,1095.94,2025-06-17
B00172,P0124,F0039,A015,118.66,2025-04-11
B00173,P0172,F0054,A033,1005.97,2025-05-28
B00174,P0063,F0043,A045,265.87,2025-05-17
B00175,P0189,F0100,A038,1254.93,2025-04-06
B00176,P0114,F0050,A025,200.2,2025-05-13
B00177,P0138,F0004,A013,227.25,2025-04-13
B00178,P0015,F0060,A020,342.75,2025-05-17
B00179,P0134,F0064,A032,307.52,2025-05-06
B00180,P0046,F0063,A046,574.32,2025-05-30
B00181,P0055,F0021,A010,363.79,2025-04-01
B00182,P0114,F0038,A011,1280.71,2025-04-08
B00183,P0102,F0024,A007,680.72,2025-04-03
B00184,P0034,F0070,A010,1215.21,2025-04-26
B00185,P0138,F0053,A021,583.69,2025-03-27
B00186,P0098,F0071,A001,478.27,2025-05-16
B00187,P0032,F0054,A016,307.17,2025-04-15
B00188,P0158,F0099,A034,768.51,2025-04-11
B00189,P0086,F0034,A049,422.5,2025-04-07
B00190,P0031,F0052,A027,1322.44,2025-04-08
B00191,P0190,F0093,A017,1194.93,2025-04-07
B00192,P0172,F0007,A019,210.29,2025-05-12
B00193,P0019,F0074,A042,1374.09,2025-05-16
B00194,P0156,F0019,A007,1256.33,2025-05-14
B00195,P0022,F0035,A040,896.43,2025-05-20
B00196,P0078,F0086,A028,361.11,2025-05-14
B00197,P0050,F0057,A050,930.52,2025-06-08
B00198,P0122,F0056,A025,781.92,2025-05-09
B00199,P0134,F0028,A028,1412.6,2025-04-05
B00200,P0120,F0095,A025,449.06,2025-04-03
B00201,P0047,F0004,A035,853.65,2025-04-02
B00202,P0083,F0039,A019,467.53,2025-03-24
B00203,P0010,F0094,A031,1429.95,2025-06-03
B00204,P0123,F0051,A020,294.72,2025-04-22
B00205,P0052,F0066,A030,1415.07,2025-05-24
B00206,P0053,F0096,A027,811.14,2025-04-16
B00207,P0106,F0097,A020,537.13,2025-05-31
B00208,P0194,F0067,A033,1438.48,2025-04-28
B00209,P0015,F0076,A006,818.1,2025-06-05
B00210,P0010,F0016,A015,1381.81,2025-04-12
B00211,P0111,F0075,A005,216.98,2025-06-04
B00212,P0092,F0018,A012,1476.39,2025-06-15
B00213,P0151,F0062,A027,790.47,2025-06-18
B00214,P0062,F0051,A001,1245.96,2025-04-29
B00215,P0114,F0001,A045,131.92,2025-05-24
B00216,P0160,F0003,A004,1139.46,2025-05-18
B00217,P0195,F0043,A005,371.68,2025-06-04
B00218,P0009,F0038,A050,743.42,2025-03-27
B00219,P0047,F0016,A009,587.8,2025-05-22
B00220,P0026,F0012,A042,873.98,2025-06-12
B00221,P0199,F0011,A029,553.87,2025-05-19
B00222,P0150,F0079,A018,842.8,2025-05-11
B00223,P0118,F0062,A017,1272.72,2025-04-30
B00224,P0178,F0066,A004,1253.65,2025-06-14
B00225,P0195,F0025,A026,788.67,2025-04-26
B00226,P0181,F0044,A031,137.23,2025-03-26
B00227,P0021,F0033,A036,1189.43,2025-05-09
B00228,P0106,F0054,A045,782.09,2025-05-31
B00229,P0091,F0071,A013,784.45,2025-05-29
B00230,P0105,F0092,A032,912.04,2025-06-08
B00231,P0047,F0014,A046,725.45,2025-06-11
B00232,P0016,F0008,A015,552.76,2025-04-13
B00233,P0163,F0074,A011,632.22,2025-05-12
B00234,P0199,F0028,A016,140.13,2025-04-28
B00235,P0082,F0056,A009,410.52,2025-04-22
B00236,P0175,F0032,A023,1016.0,2025-05-08
B00237,P0082,F0075,A049,1056.94,2025-05-23
B00238,P0109,F0038,A028,626.68,2025-03-30
B00239,P0080,F0020,A010,1343.05,2025-05-19
B00240,P0119,F0040,A001,548.3,2025-04-18
B00241,P0034,F0044,A033,1156.14,2025-04-27
B00242,P0065,F0065,A013,736.16,2025-05-15
B00243,P0127,F0002,A036,860.54,2025-06-04
B00244,P0103,F0021,A048,937.71,2025-06-03
B00245,P0124,F0034,A037,524.96,2025-05-01
B00246,P0091,F0002,A041,1199.62,2025-05-30
B00247,P0112,F0069,A006,677.89,2025-05-04
B00248,P0121,F0074,A031,1418.76,2025-05-16
B00249,P0194,F0086,A029,138.44,2025-04-03
B00250,P0154,F0041,A014,259.17,2025-03-27
B00251,P0033,F0047,A019,189.02,2025-05-03
B00252,P0114,F0080,A002,1499.02,2025-04-05
B00253,P0160,F0046,A019,481.21,2025-05-29
B00254,P0066,F0007,A019,397.77,2025-06-06
B00255,P0190,F0028,A002,518.01,2025-04-07
B00256,P0023,F0041,A004,850.9,2025-03-27
B00257,P0078,F0079,A040,891.35,2025-06-02
B00258,P0049,F0023,A046,1486.77,2025-05-03
B00259,P0124,F0008,A043,519.89,2025-06-12
B00260,P0123,F0100,A048,411.39,2025-04-15
B00261,P0173,F0057,A046,1248.52,2025-06-18
B00262,P0066,F0001,A029,537.08,2025-04-11
B00263,P0145,F0040,A025,677.12,2025-05-31
B00264,P0189,F0005,A004,1355.47,2025-03-25
B00265,P0001,F0005,A024,1458.58,2025-03-28
B00266,P0117,F0053,A025,1440.91,2025-05-08
B00267,P0020,F0050,A029,417.55,2025-06-05
B00268,P0127,F0034,A019,1359.92,2025-05-18
B00269,P0200,F0062,A036,555.91,2025-04-08
B00270,P0046,F0040,A039,933.28,2025-04-16
B00271,P0001,F0011,A005,1484.41,2025-05-10
B00272,P0142,F0067,A034,1348.43,2025-06-14
B00273,P0199,F0027,A018,351.31,2025-05-22
B00274,P0040,F0073,A014,1168.92,2025-04-06
B00275,P0184,F0056,A034,967.99,2025-05-28
B00276,P0192,F0074,A043,368.66,2025-05-10
B00277,P0049,F0069,A027,1146.83,2025-04-28
B00278,P0005,F0066,A021,294.98,2025-05-05
B00279,P0065,F0069,A006,1179.76,2025-05-30
B00280,P0015,F0081,A026,1325.92,2025-05-27
B00281,P0194,F0087,A008,911.92,2025-04-21
B00282,P0122,F0041,A007,866.6,2025-03-27
B00283,P0190,F0004,A003,834.8,2025-03-30
B00284,P0175,F0046,A003,373.41,2025-06-20
B00285,P0034,F0043,A040,901.09,2025-04-10
B00286,P0068,F0043,A004,597.79,2025-04-29
B00287,P0038,F0078,A039,809.51,2025-04-03
B00288,P0090,F0009,A009,299.32,2025-05-06
B00289,P0055,F0056,A003,1218.92,2025-05-28
B00290,P0012,F0082,A048,907.65,2025-04-23
B00291,P0100,F0062,A047,372.89,2025-06-01
B00292,P0114,F0007,A050,728.16,2025-05-01
B00293,P0081,F0099,A030,1236.2,2025-06-21
B00294,P0189,F0030,A027,467.9,2025-06-05
B00295,P0137,F0004,A007,733.92,2025-05-30
B00296,P0055,F0015,A020,1155.93,2025-05-22
B00297,P0177,F0056,A029,1368.6,2025-06-07
B00298,P0188,F0008,A022,326.96,2025-04-08
B00299,P0104,F0020,A012,1317.89,2025-06-05
B00300,P0129,F0024,A010,1201.18,2025-05-28
B00301,P0101,F0081,A049,1220.46,2025-04-21
B00302,P0136,F0055,A025,695.94,2025-06-08
B00303,P0021,F0009,A004,271.9,2025-04-28
B00304,P0012,F0046,A020,1491.56,2025-03-28
B00305,P0182,F0078,A013,1032.68,2025-06-08
B00306,P0154,F0038,A018,420.22,2025-04-16
B00307,P0187,F0037,A005,1445.32,2025-05-21
B00308,P0119,F0005,A008,111.57,2025-06-01
B00309,P0105,F0016,A013,710.4,2025-05-20
B00310,P0031,F0091,A038,656.37,2025-05-16
B00311,P0185,F0006,A001,1069.67,2025-05-12
B00312,P0073,F0015,A017,951.5,2025-05-14
B00313,P0053,F0027,A004,349.97,2025-03-25
B00314,P0143,F0095,A033,1428.66,2025-05-10
B00315,P0183,F0038,A020,547.51,2025-03-24
B00316,P0086,F0010,A019,754.62,2025-04-13
B00317,P0038,F0034,A050,192.3,2025-04-12
B00318,P0108,F0061,A030,932.62,2025-05-15
B00319,P0028,F0040,A038,311.46,2025-06-01
B00320,P0187,F0070,A050,123.4,2025-06-14
B00321,P0085,F0014,A036,1203.72,2025-05-10
B00322,P0134,F0001,A049,1255.15,2025-06-09
B00323,P0099,F0005,A001,622.22,2025-04-01
B00324,P0059,F0041,A034,735.41,2025-04-29
B00325,P0105,F0002,A013,459.37,2025-04-23
B00326,P0082,F0058,A041,497.86,2025-04-26
B00327,P0195,F0032,A035,839.35,2025-06-03
B00328,P0150,F0090,A043,768.15,2025-04-21
B00329,P0070,F0048,A008,1119.93,2025-06-12
B00330,P0192,F0090,A011,675.87,2025-03-30
B00331,P0005,F0076,A040,1370.48,2025-03-29
B00332,P0066,F0007,A019,1472.47,2025-05-04
B00333,P0025,F0017,A036,1372.95,2025-04-19
B00334,P0140,F0007,A034,1171.37,2025-03-24
B00335,P0154,F0054,A004,250.69,2025-05-23
B00336,P0042,F0085,A028,256.64,2025-05-25
B00337,P0089,F0099,A004,106.75,2025-05-15
B00338,P0059,F0100,A049,1078.03,2025-03-26
B00339,P0154,F0085,A018,390.49,2025-04-26
B00340,P0185,F0043,A002,1228.07,2025-05-04
B00341,P0158,F0018,A016,969.41,2025-04-22
B00342,P0014,F0015,A030,1487.16,2025-05-16
B00343,P0030,F0013,A043,1338.79,2025-05-02
B00344,P0054,F0046,A033,455.91,2025-04-30
B00345,P0021,F0080,A035,191.01,2025-05-23
B00346,P0127,F0088,A020,868.82,2025-05-14
B00347,P0042,F0015,A015,1322.82,2025-04-10
B00348,P0037,F0007,A014,615.78,2025-05-10
B00349,P0040,F0009,A047,1246.56,2025-06-07
B00350,P0132,F0043,A034,1446.84,2025-04-04
B00351,P0068,F0052,A004,935.69,2025-04-14
B00352,P0028,F0056,A023,629.59,2025-06-03
B00353,P0073,F0066,A032,577.93,2025-04-15
B00354,P0129,F0041,A032,1166.58,2025-05-09
B00355,P0105,F0090,A001,1009.15,2025-04-14
B00356,P0168,F0097,A005,621.23,2025-04-20
B00357,P0022,F0044,A014,988.86,2025-05-03
B00358,P0116,F0007,A004,582.46,2025-04-17
B00359,P0032,F0001,A022,1050.28,2025-06-08
B00360,P0007,F0018,A041,647.29,2025-06-17
B00361,P0025,F0099,A008,312.25,2025-05-04
B00362,P0193,F0051,A006,804.19,2025-04-19
B00363,P0107,F0050,A027,889.48,2025-04-15
B00364,P0125,F0087,A015,1289.16,2025-04-21
B00365,P0042,F0076,A013,839.69,2025-05-04
B00366,P0091,F0097,A047,217.33,2025-04-14
B00367,P0062,F0096,A025,292.47,2025-05-23
B00368,P0076,F0100,A042,338.15,2025-05-01
B00369,P0150,F0100,A004,932.67,2025-04-22
B00370,P0088,F0014,A028,186.13,2025-04-27
B00371,P0055,F0085,A001,488.66,2025-04-27
B00372,P0112,F0090,A017,461.68,2025-04-02
B00373,P0180,F0073,A046,545.17,2025-06-13
B00374,P0184,F0023,A029,494.59,2025-03-25
B00375,P0082,F0006,A014,1451.75,2025-03-26
B00376,P0015,F0077,A039,1370.58,2025-05-13
B00377,P0195,F0066,A026,1364.53,2025-06-05
B00378,P0010,F0021,A023,456.45,2025-03-27
B00379,P0131,F0078,A026,697.3,2025-05-27
B00380,P0056,F0041,A003,673.98,2025-04-13
B00381,P0117,F0034,A035,247.23,2025-05-23
B00382,P0030,F0063,A050,1034.92,2025-05-12
B00383,P0008,F0020,A028,278.97,2025-05-21
B00384,P0050,F0002,A029,1123.22,2025-05-01
B00385,P0099,F0022,A007,429.0,2025-04-06
B00386,P0076,F0084,A036,509.87,2025-04-18
B00387,P0142,F0001,A021,1325.29,2025-05-07
B00388,P0033,F0057,A050,512.01,2025-05-23
B00389,P0188,F0054,A012,831.9,2025-06-14
B00390,P0022,F0037,A024,1115.91,2025-05-08
B00391,P0139,F0040,A040,1475.69,2025-03-31
B00392,P0046,F0046,A014,1176.34,2025-06-20
B00393,P0107,F0066,A032,835.45,2025-04-01
B00394,P0037,F0013,A050,1088.26,2025-04-05
B00395,P0014,F0079,A024,935.13,2025-04-10
B00396,P0001,F0067,A027,735.79,2025-06-16
B00397,P0097,F0065,A034,194.07,2025-05-03
B00398,P0073,F0002,A019,540.68,2025-03-27
B00399,P0092,F0011,A031,917.69,2025-06-05
B00400,P0107,F0016,A047,1245.21,2025-05-11
B00401,P0062,F0012,A019,1060.52,2025-06-10
B00402,P0105,F0081,A034,1062.36,2025-05-19
B00403,P0072,F0022,A046,515.37,2025-05-22
B00404,P0152,F0007,A001,773.77,2025-03-31
B00405,P0028,F0004,A002,1327.37,2025-04-23
B00406,P0186,F0018,A032,1008.74,2025-06-01
B00407,P0078,F0083,A040,1199.47,2025-05-07
B00408,P0040,F0068,A023,105.16,2025-06-15
B00409,P0100,F0065,A050,1171.53,2025-05-03
B00410,P0149,F0026,A002,953.33,2025-05-10
B00411,P0103,F0018,A004,857.23,2025-04-15
B00412,P0092,F0033,A049,763.11,2025-04-12
B00413,P0188,F0098,A026,708.36,2025-06-19
B00414,P0155,F0085,A032,895.98,2025-05-04
B00415,P0047,F0003,A042,238.82,2025-05-07
B00416,P0059,F0084,A016,521.44,2025-05-23
B00417,P0146,F0071,A027,665.01,2025-05-12
B00418,P0161,F0053,A007,1086.62,2025-05-05
B00419,P0058,F0054,A002,414.99,2025-04-29
B00420,P0095,F0085,A042,556.33,2025-04-05
B00421,P0139,F0018,A029,904.26,2025-04-17
B00422,P0074,F0065,A001,416.88,2025-05-29
B00423,P0173,F0059,A046,1482.68,2025-05-03
B00424,P0004,F0084,A036,1219.45,2025-03-31
B00425,P0109,F0053,A049,636.51,2025-05-07
B00426,P0192,F0026,A048,1075.62,2025-05-17
B00427,P0118,F0074,A018,1336.85,2025-06-04
B00428,P0061,F0015,A033,1114.88,2025-06-01
B00429,P0140,F0037,A021,881.05,2025-06-10
B00430,P0043,F0036,A029,670.13,2025-04-23
B00431,P0163,F0053,A030,628.62,2025-04-18
B00432,P0049,F0001,A046,515.77,2025-03-29
B00433,P0115,F0002,A035,498.02,2025-06-03
B00434,P0012,F0004,A009,621.42,2025-03-30
B00435,P0170,F0080,A017,898.2,2025-04-09
B00436,P0157,F0083,A008,1245.09,2025-06-15
B00437,P0175,F0060,A011,440.98,2025-04-23
B00438,P0149,F0086,A031,1254.2,2025-03-30
B00439,P0126,F0044,A034,623.21,2025-06-07
B00440,P0020,F0098,A049,1248.45,2025-04-20
B00441,P0160,F0017,A045,407.5,2025-03-27
B00442,P0019,F0016,A048,1338.85,2025-04-20
B00443,P0083,F0097,A047,1218.27,2025-04-27
B00444,P0011,F0089,A035,412.29,2025-06-11
B00445,P0052,F0059,A042,287.72,2025-05-02
B00446,P0059,F0033,A050,1099.42,2025-04-12
B00447,P0162,F0013,A010,453.78,2025-05-31
B00448,P0046,F0091,A011,1078.34,2025-05-13
B00449,P0160,F0004,A010,470.33,2025-04-04
B00450,P0081,F0005,A033,815.36,2025-06-13
B00451,P0118,F0093,A010,958.59,2025-05-23
B00452,P0102,F0045,A045,275.63,2025-05-15
B00453,P0144,F0085,A008,274.31,2025-04-07
B00454,P0121,F0093,A036,1004.8,2025-05-13
B00455,P0027,F0047,A039,668.17,2025-06-01
B00456,P0018,F0002,A006,960.82,2025-04-22
B00457,P0190,F0026,A028,597.9,2025-03-28
B00458,P0120,F0013,A021,1155.19,2025-06-09
B00459,P0093,F0053,A035,1072.18,2025-05-29
B00460,P0163,F0090,A049,958.75,2025-06-17
B00461,P0096,F0003,A015,281.57,2025-03-27
B00462,P0179,F0036,A046,612.33,2025-04-22
B00463,P0028,F0011,A022,366.65,2025-04-23
B00464,P0148,F0031,A028,883.62,2025-04-24
B00465,P0045,F0074,A046,481.72,2025-04-07
B00466,P0069,F0051,A010,1290.07,2025-05-12
B00467,P0122,F0083,A005,1292.56,2025-04-06
B00468,P0107,F0038,A017,1276.22,2025-04-01
B00469,P0041,F0099,A010,576.47,2025-03-27
B00470,P0021,F0018,A015,1433.8,2025-04-04
B00471,P0023,F0014,A006,753.34,2025-05-13
B00472,P0095,F0091,A015,670.63,2025-05-13
B00473,P0083,F0002,A016,297.26,2025-05-30
B00474,P0036,F0027,A037,320.66,2025-05-21
B00475,P0100,F0031,A046,457.54,2025-05-20
B00476,P0123,F0014,A026,1130.1,2025-04-28
B00477,P0135,F0030,A033,767.59,2025-04-29
B00478,P0120,F0055,A023,163.75,2025-04-25
B00479,P0103,F0098,A026,1035.48,2025-06-03
B00480,P0172,F0048,A037,722.81,2025-05-19
B00481,P0087,F0088,A037,742.55,2025-05-30
B00482,P0060,F0013,A012,638.96,2025-05-09
B00483,P0195,F0084,A029,1140.74,2025-03-30
B00484,P0150,F0079,A012,919.48,2025-05-11
B00485,P0193,F0027,A013,170.12,2025-04-18
B00486,P0090,F0015,A026,145.4,2025-03-29
B00487,P0058,F0030,A013,234.04,2025-05-07
B00488,P0088,F0023,A004,1310.03,2025-06-15
B00489,P0171,F0094,A014,744.75,2025-04-25
B00490,P0061,F0093,A035,1125.92,2025-05-06
B00491,P0150,F0078,A047,1256.52,2025-03-25
B00492,P0138,F0062,A007,368.63,2025-04-20
B00493,P0200,F0066,A043,1047.45,2025-04-16
B00494,P0101,F0014,A037,877.31,2025-04-17
B00495,P0057,F0086,A049,634.53,2025-04-06
B00496,P0047,F0005,A013,1498.8,2025-04-30
B00497,P0035,F0092,A046,755.31,2025-04-14
B00498,P0196,F0016,A022,214.78,2025-05-28
B00499,P0117,F0100,A032,1136.04,2025-05-28
B00500,P0072,F0081,A038,551.86,2025-04-02
B00501,P0040,F0024,A038,976.4,2025-05-11
B00502,P0121,F0084,A007,849.35,2025-05-14
B00503,P0057,F0026,A042,849.17,2025-04-20
B00504,P0026,F0003,A028,1322.78,2025-05-28
B00505,P0171,F0090,A001,567.55,2025-04-05
B00506,P0045,F0100,A033,651.92,2025-05-29
B00507,P0103,F0093,A016,817.41,2025-06-02
B00508,P0001,F0087,A038,400.66,2025-06-03
B00509,P0093,F0031,A011,1369.93,2025-05-25
B00510,P0046,F0077,A008,1383.39,2025-04-24
B00511,P0066,F0070,A014,408.98,2025-06-18
B00512,P0021,F0010,A008,1278.93,2025-05-28
B00513,P0087,F0021,A041,874.59,2025-06-06
B00514,P0096,F0023,A005,1431.92,2025-04-17
B00515,P0069,F0064,A039,1390.6,2025-04-12
B00516,P0185,F0047,A028,180.94,2025-04-12
B00517,P0008,F0041,A012,1452.39,2025-04-10
B00518,P0181,F0093,A044,620.93,2025-05-21
B00519,P0200,F0023,A010,722.45,2025-06-10
B00520,P0139,F0004,A047,348.71,2025-04-02
B00521,P0153,F0087,A009,582.06,2025-04-18
B00522,P0177,F0051,A003,427.56,2025-03-28
B00523,P0183,F0027,A009,1172.8,2025-06-07
B00524,P0075,F0068,A003,133.61,2025-03-24
B00525,P0135,F0088,A046,1224.95,2025-05-13
B00526,P0034,F0062,A045,1445.34,2025-04-09
B00527,P0056,F0015,A026,438.22,2025-05-10
B00528,P0178,F0086,A032,794.16,2025-03-25
B00529,P0156,F0095,A007,419.12,2025-04-12
